"","distance","spectrumID","i"
"43",0.022277264161648,"spec-2557-54178-0009.fits",274
"64",0.0226172868425565,"spec-5301-55987-0190.fits",235
"94",0.0228124213558976,"spec-7235-56603-0338.fits",213
"41",0.023219842219052,"spec-2382-54169-0116.fits",296
"93",0.0232306748801584,"spec-7089-56661-0076.fits",62
"95",0.0233878080319016,"spec-7255-56597-0896.fits",525
"60",0.0243115288560877,"spec-5015-55707-0294.fits",215
"48",0.0249295745561455,"spec-3808-55513-0602.fits",44
"68",0.026410699049456,"spec-5331-55976-0504.fits",361
"76",0.0266187103744603,"spec-6049-56091-0278.fits",362
"83",0.0268735669470961,"spec-6439-56358-0432.fits",1
"52",0.027204374986749,"spec-4242-55476-0780.fits",396
"82",0.0274942608397498,"spec-6406-56330-0456.fits",72
"37",0.0276605864800845,"spec-2188-54595-0112.fits",1
"98",0.0277431129882127,"spec-7301-56746-0454.fits",118
"34",0.0277496945944395,"spec-2124-53770-0113.fits",1
"9",0.0278486531542765,"spec-0995-52731-0137.fits",1
"40",0.0280025352537569,"spec-2359-53826-0199.fits",1
"17",0.0281012941969501,"spec-1311-52765-0413.fits",1
"46",0.0281053537026453,"spec-2913-54526-0229.fits",1
"33",0.0281843115720301,"spec-2118-53820-0538.fits",1
"74",0.0282723030170498,"spec-5972-56334-0558.fits",161
"44",0.0284310481263958,"spec-2620-54339-0453.fits",1
"81",0.0284880799359439,"spec-6161-56238-0336.fits",896
"56",0.0286644467417328,"spec-4494-55569-0447.fits",668
"15",0.0286927246503947,"spec-1232-52731-0467.fits",1
"29",0.028708316184947,"spec-1788-54468-0050.fits",1
"28",0.028830554440263,"spec-1757-53083-0437.fits",1
"38",0.028891608137076,"spec-2261-53612-0404.fits",1
"26",0.0289737841121793,"spec-1719-53876-0095.fits",1
"11",0.0289965802897391,"spec-1054-52516-0291.fits",1
"12",0.0291262200971473,"spec-1081-52531-0173.fits",1
"47",0.0291756664769584,"spec-3755-55504-0496.fits",730
"23",0.0292657842392066,"spec-1626-53472-0286.fits",1
"8",0.0292760779366694,"spec-0991-52707-0359.fits",1
"96",0.0292771595012957,"spec-7257-56658-0239.fits",848
"2",0.0292991846405583,"spec-0390-51900-0010.fits",1
"3",0.029307850796891,"spec-0509-52374-0631.fits",1
"35",0.0293136218826382,"spec-2161-53878-0604.fits",1
"39",0.0293264275768689,"spec-2356-53786-0499.fits",1
"62",0.0294035754059452,"spec-5047-55833-0214.fits",1
"32",0.0294265383000321,"spec-1997-53442-0041.fits",1
"10",0.0294835857401644,"spec-1026-52558-0067.fits",1
"57",0.0295170238359463,"spec-4611-55603-0878.fits",1
"84",0.0295235280986428,"spec-6447-56362-0485.fits",130
"21",0.0296326653046401,"spec-1437-53046-0166.fits",1
"51",0.0297145336811159,"spec-4176-55682-0865.fits",8
"30",0.0297945848495442,"spec-1923-53319-0383.fits",1
"55",0.0297976887447027,"spec-4464-55866-0887.fits",133
"13",0.0298252514132419,"spec-1105-52937-0368.fits",1
"49",0.0299598417863238,"spec-4039-55648-0759.fits",767
"16",0.0299621681136653,"spec-1301-52976-0123.fits",1
"75",0.0300289660903321,"spec-6008-56093-0606.fits",1
"4",0.0300471971073666,"spec-0632-52071-0263.fits",1
"18",0.0300690391452227,"spec-1353-53083-0579.fits",1
"6",0.0301858901110247,"spec-0924-52409-0636.fits",1
"78",0.0302197182253661,"spec-6064-56097-0818.fits",1
"59",0.0302390597056254,"spec-4870-55923-0229.fits",1
"90",0.0303362161751651,"spec-6656-56624-0929.fits",1
"73",0.0303586883699467,"spec-5793-56337-0530.fits",1
"65",0.0303929377002304,"spec-5302-55896-0613.fits",1
"91",0.0304345881220151,"spec-6754-56414-0896.fits",82
"36",0.0304411249368181,"spec-2179-53555-0564.fits",1
"54",0.0304470099521299,"spec-4391-55866-0036.fits",1
"50",0.0304840209430002,"spec-4058-55358-0634.fits",1
"100",0.0305257604423728,"spec-7424-57160-0977.fits",1
"85",0.0306027376970567,"spec-6461-56329-0925.fits",1
"69",0.030626240394288,"spec-5336-55957-0105.fits",1
"42",0.0306350720455377,"spec-2422-54096-0519.fits",1
"25",0.0307005569707369,"spec-1685-53463-0384.fits",1
"20",0.0307082185125028,"spec-1397-53119-0412.fits",1
"7",0.0307269756570363,"spec-0935-52643-0464.fits",1
"99",0.0307318864681814,"spec-7395-57131-0208.fits",1
"14",0.0307459402937014,"spec-1229-52723-0306.fits",1
"67",0.0307927966240835,"spec-5328-55982-0218.fits",1
"92",0.0308197149059056,"spec-6803-56402-0747.fits",1
"72",0.0308321658394304,"spec-5454-56015-0641.fits",1
"80",0.0308689928040167,"spec-6145-56266-0755.fits",1
"31",0.0308737033187067,"spec-1959-53440-0382.fits",1
"87",0.0309467935807074,"spec-6466-56310-0992.fits",1
"45",0.0309498032165512,"spec-2634-54110-0244.fits",1
"53",0.0309603886736582,"spec-4347-55830-0615.fits",1
"22",0.0309697614006638,"spec-1568-53169-0578.fits",1
"86",0.0309761719577153,"spec-6465-56279-0857.fits",1
"58",0.031005086191765,"spec-4801-55653-0130.fits",1
"63",0.0310102625667566,"spec-5111-55840-0716.fits",1
"24",0.0311443225341752,"spec-1672-53460-0251.fits",1
"70",0.0312972093196208,"spec-5397-55944-0285.fits",1
"1",0.0313203452564317,"spec-0314-51641-0211.fits",1
"66",0.0313290765810825,"spec-5324-55947-0886.fits",1
"79",0.0313503137300591,"spec-6125-56273-0414.fits",1
"27",0.0314407547399973,"spec-1728-53228-0337.fits",1
"61",0.0315203909337641,"spec-5027-56218-0605.fits",1
"5",0.0315275883043322,"spec-0750-52235-0328.fits",1
"77",0.0315978991795905,"spec-6053-56091-0724.fits",1
"71",0.0316997430121749,"spec-5451-56010-0798.fits",1
"88",0.0319356245459883,"spec-6512-56567-0742.fits",1
"19",0.0323272922182682,"spec-1382-53115-0469.fits",1
"89",0.0615904888032657,"spec-6620-56368-0501.fits",1
"97",NA,"spec-7258-56605-0453.fits",1
